A.bte	abbots
hartna.ckig[Adjective]	obstinate
hartna.ckig[Adverb]	obstinately
hassen (verb), der Hass (noun)	hate
hassend[Conjunction]	hating
hasst[Conjunction]	hates
hasten, eilen[Verb]	hasten
hastig	hasty
hastig	rash
hat das Hotel (...)	does the hotel have (...)
hat das Schwimmbecken einen Badewärter	does the pool have a lifeguard
hat man eine Bedienung eingeschlossen	is a service charge included
hat nicht[Conjunction]	hasn't
hatte nicht[Conjunction]	hadn't
haupt	main
hauptsa.chlich[Adjective]	mainly
hauptsächlich	main
heben	raise
hebte	raised
hedonistisch[Adjective]	hedonistic
heften	pin
heften	stitch
heftig	wild
hegemonisch[Adjective]	hegemonic
heikel	delicate
heikel	tricky
heil[Verb]	heals
heilend[Conjunction]	healing
heilig[Adjective]	sacred
heiligen, weihen[Verb]	hallow
heimatlich	native
heiraten[Verb]	wed
heiratete	married
heissen	call
heiter	clear
heizen	heat
heiß	hot
hektisch	hectic
helfen	aiding
helfen	help
helfen, unterstu.tzen	abet
helles Bier	light beer
hello	hello
hemmt	clams
her	ago
herabsetzen	lower
heraus	out
heraus hinaus	out
herausbringen	publish
herausfinden	find out
herausgeben	publish
herausgekommt	came from
herein	come in
hergebracht	customary
hergestellt (in)[Verb]	made
hergestellt[Adverb]	fabricated
herrenloses Gut, Strandgut	waif
herrichten	prepare
herrichten	set up
herrlich	wonderful
herstammen	come from
herstellen[Verb]	fabricate
herum	about
herumgehen	skirt
herumreitend	riding
herumziehen	wander
herunterlassen	lower
hervorbringen	produce
herzen	cuddle
herzkrank[Adjective]	heartsick
herzlich	affectionate
herzliche Grüße	best regards
herzlos[Adjective]	heartless
herzoglich[Adjective]	ducal
herzoglich[Adverb]	ducally
herüber	across
herüber	over
hetzen Sie nicht	take time
heulen	cry
heute	today
heute fliegt das Flugzeug nach (...)	is there a flight to (...) today
hexen	witching
hexenhaft[Adjective]	witchlike
hielt	held
hielt	kept
hier	here
hier	men
hier entlang bitte	this way please
hier ist Ihr Platz	this is your seat
hilfe mich	help me
hilfen	aid
hilflos	helpless
hilfreich	helpful
hilfsbedürftig	needy
hilft	aids
himmlisch[Adjective]	heavenliness
hinauf	up
hinaus	out
hindern[Verb]	hamper
hineinkommen bitte	come in please
hineinstechen	jab
hineinzwängen	squeeze
hinlegen	recline
hinter	after
hinter	beyond
hinter der Bühne[Adverb]	backstage
hintere	rear
hinterher	after
hinterruegs	backhanded
hinterwaelderisch	backwardly
hinzufu.gen[Verb]	add
hinüber	across
hinüber	over
hinüberbringen	transfer
historisch	historical
historischen Reize (pl)	historical attractions
ho.ren[Verb]	hear
ho.rend[Adjective]	hearing
ho.rt[Conjunction]	hears
hobeln	plane
hochachtungsvoll	yours sincerely
hoche Bau (m)	tall building
hochmütig	arrogant
hochschießen	rocket
hochtreiben	inflate
hoffend für (...)	hoping for (...)
hoffend zu finden	hoping to find
hoffentlich	hopefully
hoffnungsloss	hopeless
hofnungsvoll	hopeful
holprig	bumpy
homosexuell	homosexual
honorieren	honor
hopsen	hop
horizontal	horizontal
hount	dog
hu.bsches Fra.ulein[Noun]	babe
hund	dog
hund	manacle
husten	cough
hygienisch	sanitary
hält die Zug auch in (...)	does the train stop at (...)
hämmern	hammer
hätscheln	cuddle
häßlich	ugly
höher	upper
hören	listen
hübsch	fair
hübsch	handsome
hüpfen	hop
iatrogen[Adjective]	iatrogenic
ich	me
ich bin Amerikaner	I am American
ich bin Amerikanerin	I am American
ich bin Engländer	I am English
ich bin Engländerin	I am English
ich bin fertig	I am ready
ich bin hingefallen und habe mir den Rücken ver	I fell down and hurt my back
ich bin krank	I am ill
ich bin müde	I am tired
ich brauche	I need
ich esse Fleisch nicht	I do not eat meat
ich flog	I flew
ich ging	I went
ich glaube ich habe Grippe	I think I've caught the flu
ich glaube, ich habe eine Lebensmittelvergiftun	I think I have food poisoning
ich glaube, ich habe mir den Fuß verstaucht	I think I've sprained my ankle
ich glaube, ich habe mir den Knöckel gebrochen	I think I've broken my ankle
ich habe	I have
ich habe Durst	I am thirsty
ich habe Schwierigkeiten beim Atmen	I am having difficulty breathing
ich habe dies gerstern gekauft letzt	I bought this yesterday
ich habe es eilig	I am in a hurry
ich heiße (...)	my name is (...)
ich kam	I came
ich mag (...)	I like (...)
ich möchte Amerikanisches Geld einwechs	I wish to change some American money
ich möchte bitte ein Glas Wasser	I'd like a glass of water please
ich möchte den Geschäftsführer sprechen	I want to see the manager
ich möchte ein hart gekochtes Ei	I would like a hard boiled egg
ich möchte ein ruhiges Zimmer	I want a quiet room
ich möchte ein weich gekochtes Ei	I would like a soft boiled egg
ich möchte eine Kamera kaufen	I want to buy a camera
ich möchte einen grossen Wagen mieten	I wish to rent a large car
ich möchte einen kleinen Wagen mieten	I wish to rent a small car
ich möchte zwei Plätze für die	I want two seats for the matinee tomorrow
ich möchte zwei Plätze für heute Abend	I want two seats for tonight
ich nehme dies selbst eln	I will take this myself
ich nehme dieses Zimmer	I'll take this room
ich nehme es gleich mit	I will take it with me
ich sagte	I said
ich sah	I saw
ich sehe	I see
ich spreche kein Deutsch	I don't speak German
ich spreche nur wenig Deutsch	I don't speak much German
ich trat ein	I entered
ich verstehe nicht	I don't understand
ich weiß nicht	I don't know
ich wurde (...) mögen	I would like to (...)
ich wurde einen Trinkspruch machen mögen	I would like to make a toast
ichbezogen	egotistical
ignorieren	ignore
ihm	him
ihm selbst	himself
ihn	him
ihn selbst	himself
ihnen	them
ihr, euch[Pronoun]	ye
im	in the
im Ausland	abroad
im Bausch und Bogen	wholesale
im U.berfluss vorhanden sein	abound
im Zickzack (gehen etc.)[Verb]	zagging
im Zickzack (laufen etc.)[Verb]	zagged
im gesicht	facial
im grunde genommen	essentially
immer	always
immer dein	forever yours
immernoch	still
impfen[Verb]	vaccinate
importieren	import
in	at
in	in
in Begleitung	accompanied
in Blu.te, blu.hend	abloom
in Flammen	ablaze
in der Hölle	below
in der letzten Zeit	lately
in ordnnung	it is all right
in ordnnung	ok
in ordnung	okay
indianisch	Indian
indianische Meer (n)	Indian Ocean
indianische Volksstamme (m)	Indian tribe
indisch	Indian
industriell	industrial
industrielle Bezirk (m)	industrial district
informieren Sie mir	let me know
inhalieren	inhale
inkorporiert	incorporated
inmitten[Preposition]	midst
innen	inside
innenseite	inside
inner-	internal
innere	inside
innerhalb	inside
innerlich	internal
innewohnend	inherent
innig	intimate
installieren	install
inszenieren	stage
intelligent	intelligent
intelligent	intenationale Bediener
intelligent	international operator
intenationale Handel	international trade
interessant	interesting
interessieren	interest
interessiert	interested
intern	internal
international	international
international akzeptiert	internationally accepted
internationale Abfahrten (pl)	international departures
internationale Ankünfte (pl)	international arrivals
internationale Konvention (f)	international convention
internationale Luftverkehrsgesellschaft (f)	international airline
internationale Ruf (m)	international call
intim	intimate
irgend	any
irgendein	any
irgendetwas	anything
irgendetwas	something
irgendjemand	anybody
irgendwie	somehow
irgendwo	anywhere
irgendwo	somewhere
irgendwohin	anywhere
irgendwohin	somewhere
irisch	Irish
irre	lost
irre	wrong
ist (der) (...) frisch	is the (...) fresh
ist Bedienung einbegriffen	is the service charge included
ist Kilometergeld im Preis einbegriffen	does that include mileage
ist allen Steuern darein	does that include all taxes
ist das Ihr Auto	is this your car
ist das Ihr Wagen	is this your car
ist das Ihre endliche Preis	is that your final price
ist das Schwimmbecken erhitzte	is the swimming pool heated
ist das treu	is that true
ist diese Platz frei	is this seat taken
ist dieser Platz frei	is this seat free
ist es ein Schnellzug oder ein Personen	is this an express or a local train
ist es nur für eine Nacht	is it for one night only
italienisch	Italian
italienische Lira	Italian Lira
ja	yes
ja, ja doch	yea
jaehrlich	annual
jaehrlich	annually
jambisch[Adjective]	iambic
japanisch	Japanese
jawohl	yes
jd. seiner Kleider berauben[Verb]	nakedize
jede	every
jede alle	every
jeder	every
jeder[Pronoun]	each
jederzeit	any time
jedes	every
jedoch	but
jedoch	however
jedoch	yet
jene	those
jener	those
jener, jene, jenes[Adjective]	yon
jenseits	beyond
jetzt	currently
jetzt	now
jodeln[Verb]	yodel
journalist (m)	journalist
journalistin (f)	journalist
jugendlich	youthful
jung	young
jungfa.ulich[Adjective]	maiden
justieren	justify
jährlich	annual
jährlich	yearly
jünger	younger
kabab	kabob
kabeln	cable
kahl	bald
kahl	bare
kalibrieren[Verb]	calibrate
kalibrieren[Verb]	calibrating
kalibriert[Verb]	calibrated
kalibriert[Verb]	calibrates
kalibrierung[Noun]	calibration
kalibrierungen	calibrations
kalken	lime
kalkulieren	calculate
kalt	cold
kam	came
kanadisch	Canadian
kann	can
kann	could
kann	may
kaputt	broken
kariert[Adjective]	plaided
kassieren	collect
katholisch	catholic
katzenartig[Adjective]	feline
kaufen[Verb]	buy
kaufmännisch	commercial
kauft[Verb]	buys
kaum[Adverb]	hardly
kaustisch	caustic
kehren	brush
kein	no
kein	none
keine	no
keine	none
keine Problem	that is not a problem
keiner	neither
keiner	nobody
keiner	none
keiner weder	neither
keines	none
kennzeichnen	label
kill[Noun]	mandrakes
kindbett	childbed
kindbett	childbed
kinder	children
kindheit	childhood
kindheit	childhood
kindlich	childish
kindlich	childish
kindlich	childlike
kindlich	childlike
kindlos	childless
kindlos	childless
kitschisch	campy
klammern	staple
klar	clear
klassisch	classical
klatschen	gossip
klebrig	stringy
klebrig	viscous
kleid (f)	clothes
kleidete	dressed
klein	small
kleine Finger (m)	pinkie finger
kleine Suende; Kavaliersdelikt	peccadillo
kleine Zehe (f)	little toe
kleiner	less
kleiner	smaller
kleines Faß (n)	keg
kleines Kind	babe
kleines Kind (n)	toddler
kleinigkeiten	bagatelles
klemme	jam
klemmen	jam
klettern	climb
klettern	climbing
klettete	scrambled
klimmen	climb
klingen	sound
klopfen[Verb]	knock
kläffen, bellen[Verb]	yelp
klären	clear
knacken	click
knapp	rare
knapp	tight
kneten	knead
knifflig	tricky
knochen (m)	bone
knorren	knot
know[Adjective]	manducated
knüpfen	knot
knüpfen	tie
kochen	boil
kochen	cook
koedern	baiting
kolben (n)	butt
kombinieren	join
komfortabel	comfortable
komisch	quizzical
komme	come
komme ich hier zum Zoo	is this the way to the zoo
kommen	come
kommen	get
kommend	coming
kommerziell	commercial
kommt Frühstück mit das Zimmer	does breakfast come with the room
kommunal	municipal
kompakt	compact
komplett	completed
kompliziert	tricky
kompost	letter
komprimiere	squeezed
konjugieren	conjugate
konnte	could
konservativ	conservative
kontinental	continental
konzentrieren	package
kopieren	copy
kopiert	copies
kosen	caress
kosmisch	cosmic
kosten	charge
kosten	cost
kraeftig[Adjective]	heavyset
krampft ein	cramps
krank	ill
krank	sick
kraus	curly
kreischen	jar
kreischen[Verb]	yell
kreisen	circle
kreisförmig	round
krepieren	die
kriechend, unterw.rfig, verworfen, erniedrigt, vera.chtlich[Adjective]	abject
kriegte	got
kriminal	criminal
kräftig	strong
kränklich	ill
krümmen	double
kuerzen, abkuerzen	abridge
kurz	short
kurzsichtig[Adjective]	nearsighted
kurzsichtig[Adverb]	nearsightedly
kuscheln	cuddle
kämmen	comb
kämpfen	fight
können	can
könnte	might
könnten	could
kühl	cool
kühlen	cool
kümmern	grieve
künstlich	artificial
kürzlich	lately
küssen	kiss
küssend	kissing
küsste	kissed
la.rmend, bru.llend[Adjective]	uproariously
lackiert	painted
ladbar[Adjective]	loadable
laden	charge
lag	lay
lagern	store
landen	land
landesweit[Adjective]	nationwide
landete	landed
landwirtschaft[Noun]	husbandry
landwirtschaftlich	agricultural
lang	long
lang	tall
lange	long
langen	hand
langsam	slow
langsamer	slower
langsamste	slowest
langweilig	boring
langweilte	bored
lassen	leave
lassen	let
lassen	permit
laufen	run
laufen	walk
laufend	current
laufend	currently
lauschen	listen
lauschen[Verb]	eavesdrop
laut	noisy
laut[Adverb]	loud
lauter	sheer
lauwarm	tepid
lax	lose
lebend	living
lebendig	living
lebhaft	quick
leblos[Adjective]	inanimate
leblos[Adverb]	inanimately
ledern	leather
ledig	single
ledig	vacant
lediglich	only
leer	blank
leer	vacant
leerstelle	space
leerzeichen	blank
leerzeichen	space
legen	lay
legen	recline
lehren[Verb]	teach
leicht	easy
leicht	light
leicht	mild
leichter[Adjective]	easier
leiden	stand
leidtun	sorry
leise	soft
leisten	last
leiten	boss
leiten	direct
lenken	direct
lenken	steer
lernen[Verb]	learn
letzter Termin (m)	deadline
leugnen	abnegate
leuka.misch[Adjective]	leukemic
liberal	liberal
liebe (...)	Dear (...)
lieben	love
liebhaben	love
liebkosen	caress
lieferte	delivered
liegen	lie
liegend	lying
liga,manschaft,bund	league
listen[Adjective]	mandatory
lizenzieren	license
locker	loose
lockern	loosen
lockig	curly
lockig[Adjective]	curled
lokal	local
lokal	regional
look	lookahead
los	loose
losbinden	unbid
losbinden, befreien, lo.sen[Verb]	unbind
losfahren	leave
lotsen	pilot
luft[Noun]	air
luftig	airy
luftig	breezy
lunge (pl)	lungs
lupfen	raise
luxuriös	luxurious
ländlich	bucolic
länge	long
lärmig	noisy
löschen	clear
löschen	delete
löschen	erase
löschen	quench
lüften	air
lügen	lie
lügereien	lying
lügnerisch	lying
ma.ssig[Adjective]	moderate
mach hin	c%27mon
mach schon	c%27mon
mach zu[Verb]	c%27mon
machbar	feasible
machbar[Adjective]	doable
machbar[Adverb]	feasibly
machen	do
machen	make
machen einen Umweg	detour
macht gewalt	might
machte ausfindig	located
machtlos	powerless
machzu[Verb]	c%27mon
mag	may
magisch[Adjective]	magical
magnetisch[Adjective]	magnetic
magnetisierbar[Adjective]	magnetizable
magnetisieren[Verb]	magnetize
magnetisiert[Adjective]	magnetized
majesta.tisch[Adjective]	majestic
majesta.tisch[Adjective]	majestical
majesta.tisch[Adverb]	majestically
makaber[Adverb]	macabrely
makrobiotisch[Adjective]	macrobiotic
makromolekular[Adjective]	macromolecular
makroo.konomisch[Adjective]	macroeconomic
makroskopisch[Adjective]	macroscopic
malen	paint
malend	painting
malte	painted
man	one
man	they
man	you
man[Verb]	mandolinist
manche	many
manche	some
manchen Münzen (pl)	some coins
mancher	many
manches	many
manchmal	sometimes
mangelhaft	poor
mangeln[Verb]	lack
mangelt[Verb]	lacks
maniküren	manicure
manuell	manual
marineblau	navy blue
mariniert	marinated
marschieren	march
maschinell	automatic
maschinenähnlich[Adjective]	machinelike
maskieren	mask
massieren	knead
massieren	massage
maximal	maximum
meckern	beef
meditieren	meditate
medizinische Behandlung (f)	medication
mehr	further
mehr	more
mehr	some more
mehr weitere	more
mehrere	several
mehrere einzelne	several
mehrere, viele, zig-mal, x-mal[Adverb]	umpteen
mein	my
mein Herr	sir
mein,Mine (f)	mine
meine	my
meiner	mine
meines	mine
meisseln	sculpture
melken	milk
merkwürdig	peculiar
merkwürdig	queer
messen	compete
messen	meter
metrisch	metric
mexikanisch	Mexican
mexikanische Peso	Mexican Peso
mich	me
mieten	rent
mieten, vermieten, anstellen, engagieren[Verb]	hire
milchig[Adjective]	milky
milchmänner[Noun]	milkmen
mild	mild
milde Seife (f)	mild soap
militärisieren[Verb]	militarize
militärisiert[Verb]	militarized
militäristisch[Adjective]	militaristic
mindestens	at least
minenraeumen	minesweeping
mineralisch	mineral
mineralogisch	mineralogical
minimal	minimal
minimieren	minimize
mir	me
mir geht es jetzt wieder besser	I feel better now
mir ist schlecht	I feel sick
mir ist schwindlig	I feel dizzy
mit	by
mit	with
mit Fenstern	windowed
mit Reissverschluss[Adjective]	zipped
mit Sand bestreuen	sand
mit dem Kopf zuerst[Adverb]	headforemost
mitmachen	join
mittags	at noon
mitteilen	communicate
mitteilte	wrote
mittel	middle
mitten; unter	among
mitternächtlich[Adjective]	midnightly
mittler-	middle
mittlere	middle
mißbraucht	abused
modern	modern
modernistisch	modernist
momentan[Adjective]	current
monarchisch	monarchic
monatliche Zeitschrift (f)	monthly magazine
mosaik	mosaic
mostrich	mustard
mother[Noun]	mutter
mothered[Adjective]	muttered
munkeln	rumor
musikalisch	musical
muslim	moslem
männlich	male
männlich	masculine
mässig	temperate
möchte	will
mögen	like
mögen	may
möglich	possibly
möglicherweise	possibly
müde	sleepy
müde	tired
mürrisch	crabby
müstergültig	model
n	untrans
na.chtlich[Adjective]	nocturn
na.chtlich[Adjective]	nocturnal
na.chtlicherweise[Adverb]	nocturnally
na.mlich[Adverb]	namely
nach	after
nach	from
nach	to
nach hause	home
nach oben	up
nachdem	after
nachdenken	meditate
nachforschen	quest
nachgeben	yield
nachgehen	follow
nachher	afterward
nachkommen	follow
nachlassen	flag
nachprüfen	revise
nachstellen	pursue
nachtragen	resent
nachts	at night
nacken	neck
nackt	bare
nackt	nude
nackt[Adjective]	naked
nackt[Adjective]	nakedly
nageln	nail
nah	close
nahe	near
nahe	nearby
nahegelegen	nearby
nahm an	adopted
naiv	naive
naiv[Adverb]	naively
named[Adjective]	mandolinists
namenlos[Adjective]	nameless
namenlos[Adverb]	namelessly
namte	named
nasal[Adjective]	nasal
naseweis	fresh
nass	wet
nass[Adjective]	damp
national	national
national[Adverb]	nationally
nationalistisch	nationalistic
nationalistisch[Adverb]	nationalistically
naturalistisch[Adjective]	naturalistic
natürlich	natural
natürlich[Adverb]	naturally
neben	close by
neben	next to
nebst	with
neckisch	cute
negative[Adjective]	negative
negieren[Verb]	negate
negiert[Adjective]	negated
negiert[Verb]	negates
nehmen	take
nein	no
nennbar[Adjective]	nameable
nennen	call
nennen	name
neoklassisch	neoclassical
neoklassisch[Adjective]	neoclassic
neoklassizistisch[Adjective]	neoclassicist
neokonservativ[Adjective]	neoconservative
neoorthodox[Adjective]	neoorthodox
nervo.s[Adjective]	nervous
nervös	jumpy
nett	nice
nett	pretty
nette person (f)	nice person
netzartig	weblike
neu	new
neu	novel
neuartig	novel
neue	new
neuen	new
neuer	new
neuer	newer
neuerdings	lately
neues	new
neuest	newest
neueste	newest
neugebacken	fresh
neugierig	nosy
neugierig[Adjective]	curious
neun	nine
neunt-	ninth
neunte	ninth
neunter	ninth
neunzehn	nineteen
neunzig	ninety
neuzeitlich	modern
nicht	no
nicht	not
nicht Authentisch, echt[Adjective]	unauthentic
nicht abgeku.rzt, vollsta.ndig ausgeschreiben[Adjective]	unabbreviated
nicht anerkannt[Adjective]	unacknowledged
nicht anpassungsfa.hig, unflexibel[Adjective]	unadaptable
nicht anwesend, begleitend[Verb]	unattended
nicht atembar[Adjective]	unbreathable
nicht ausgerichtet, krum[Adverb]	unaligned
nicht begraben[Verb]	unburied
nicht bewusst[Adjective]	unaware
nicht diskutierbar[Adjective]	unarguable
nicht geblendet[Adjective]	unblinded
nicht gefesselt[Adjective]	unbrace
nicht haben[Verb]	haven't
nicht kaputt, ganz, heil[Adjective]	unbroken
nicht pleite[Adjective]	unbroke
nicht unterstu.tzt[Verb]	unbacked
nicht unterstuetzt, alleine[Adjective]	unassisted
nicht vorhanden, vorra.tig[Adjective]	unavailable
nicht zertifiziert[Adjective]	uncertified
nicht zugewiesen[Verb]	unassigned
nicht zusammengebaut, in Einzelteilen[Adjective]	unassembled
nicht zusammengehalten, ohne Gu.rtel[Adjective]	unbelted
nicht zustimmen	disagree
nicht zwinkern, "Ohne mit der Winper zu zucken"[Adjective]	unblinking
nicht überholen	passing prohibited
nicht-biblisch[Adjective]	unbiblical
nichtbiologisch[Adverb]	abiologically
nichts	non
nichtuebereinstimmen	disagree
nicken[Verb]	nod
nie	never
niedere Stabe (f)	lower case
niederschlagen	fell
niederträchtig	infamous
niederträchtige Charakter (m)	infamous character
niedlich	cute
niedlich	pretty
niedrig	menial
niedriger	lower
niedrigere	lower
niedrigerer	lower
niemals	never
niemand	nobody
nimmer	never
niponische Yen	Japanese Yen
nirgends	nowhere
noch	still
noch	yet
noch einmal[Adverb]	again
nord	north
nordosten	northeast
nordwesten	northwest
notdürftig	bare
notieren	jot down
notieren	note
notleidend	needy
notwendig	needed
notwendig[Adjective]	necessary
notwendigerweise[Adverb]	necessarily
nuklear	nuclear
numerisch	digital
nun	now
nun jetzt	now
nur	only
nur bloss erst	only
nutzen	utility
nächst	next
nächst-	nearest
nächst-	next
nächste	nearest
nächste	next
nächsten	next
nächstens	soon
nächstes	next
nächstliegend	nearest
nähe	sew
nähen	sew
närrisch, albern, lustig[Adverb]	zanily
nördlich	arctic
nörgeln	crab
nötig	need
nützlich	useful
o.ffnen[Verb]	unbolt
o.ffnete[Verb]	unbolted
o.kologisch	ecologic
ob	whether
ob oder	whether
oben	overhead
oben getreten	kicked upstairs
obengenannt[Adjective]	abovementioned
ober	upper
obere Stabe (f)	upper case
oberer	upper
objektiv[Adjective]	objective
objektiv[Adverb]	objectively
obligatorisch[Adjective]	obligatory
obszo.n[Adjective]	obscene
obwohl, obgleich	although
oder	or
offen	ajar
offen	open
offen[Adverb]	openly
offene	opened
offenherzig[Adjective]	openhearted
offenherzig[Adverb]	openheartedly
offensichtlich[Adjective]	obvious
offensichtlich[Adverb]	obviously
offiziell	official
ohne	without
ohne Fruchtbla.tter	acarpellous
ohne Fruchtbla.tter	acarpelous
ohne Hilfe/Unterstu.tzung[Adverb]	unaided
ohne Rot zu werden[Adjective]	unblushing
ohnmächtig	powerless
okay	okay
okkult[Adjective]	occult
oktagonal[Adjective]	octagonal
oktagonal[Adverb]	octagonally
one-nineteen	numbers
operieren	operate
opfern[Verb]	sacrifice
opportunistisch[Adjective]	opportunistic
opportunistisch[Adverb]	opportunistically
optimal[Adjective]	optimal
optimieren[Verb]	optimize
optimiert[Verb]	optimized
optimistisch[Adjective]	optimistic
optimistisch[Adjective]	optimistical
optimistisch[Adverb]	optimistically
optional[Adjective]	optional
optisch[Adjective]	optic
optisch[Adjective]	optical
optisch[Adverb]	optically
optische Zeichenanerkennung	optical character recognition
ordentlich	proper
ordentlich	regular
ordentlich	tidy
ordentlich[Adjective]	neat
ordentlich[Adverb]	neatly
orientalisch	oriental
orientieren	orient
orten	locate
ortsansässig	indigenous
ortsüblich	customary
ost	east
osterne Hemisphäre (f)	eastern hemisphere
paar	a few
panzer[Adjective]	armored
parken	park
parken	parking
parkte	parked
parkverbot	no parking
passend	proper
passendes	matches
pastoral-	pastoral
pazifisch	pacific
pazifistisch	pacifistic
pazifistisch	pacifistically
peinlich	embarrassingly
peinlich, peinsam	embarrassing
pendeln	commute
pensionieren	retire
pensioniert	retired
per	with
per Anhalter fahren	hitchhike
perlenartig; perlenfarbig	pearly
perspektive	perspective
persönlich	personal
pfeifen[Verb]	whistle
pflanzen	plant
pflasterte	paved
pflegen	nurse
pflügen	plough
pflügen	plow
pfosten	post
pfotze[Noun]	cunt
photografieren	photograph
plagen[Verb]	plage
plagen[Verb]	plague
plastisch	plastic
platt	flat
plattieren	plate
pleite	broke
plotzlich[Adverb]	abruptly
plätten	iron
polieren	polish
politisch	political
politische Karikatur (m)	political cartoon
polnisch	polish
polstern, beziehen[Verb]	upholster
populär	popular
portugiesisch	portuguese
posten	post
postum	posthumously
pressen	press
prima	super
privat	private
pro stueck	apiece
probably[Noun]	manducate
produzieren	produce
programmieren	program
projizieren	project
promovierte	graduated
protesatische Kirche (f)	Protestant church
prozent	percent
prägen	stamp
prüfen	check
publizieren	publish
puderdose	compact
pudern	powder
pulverisieren	pulverize
pur	straight
purpur	purple
purpurn	purple
purpurrot	purple
putzen	polish
pünktlich	on-time
quadrat-	square
quadratisch[Adjective]	quadratic
quadratisch[Adverb]	quadratically
quadrophon(isch)[Adjective]	quadraphonic
qualifiziert[Adjective]	qualified
quatschen[Verb]	gab
quer	across
querab	abeam
quetschen	bruise
quetschen	squeeze
quetschte	squeezed
quittieren	quit
r	letter
rabauke	tough
rachitisch[Adjective]	rachitic
radfahren[Verb]	biking
radial[Adjective]	radial
radieren	erase
radikal[Adjective]	radical
radikal[Adverb]	radically
radikalisieren[Verb]	radicalize
radikalisiert[Adjective]	radicalized
radioaktiv[Adjective]	radioactive
radioaktiv[Adverb]	radioactively
rammen	ram
randalieren	riot
rangieren	switch
rasch	quick
rasen	rage
rasieren	shave
rassenma.ssig, Rassen-[Adverb]	racially
rassistisch[Adjective]	racialistic
rasten	rest
raten[Verb]	advise
ratlos	helpless
rauben Pieter Paulus zu zahlen	rob Peter to pay Paul
raufen	fight
raufen	pull
razemisch[Verb]	racemic
rechts	to the right
rechtzeitig	on-time
rechtzeitig	timely
reden	talk about
redete auf	talked to
redigieren	edit
regelmässige	regularly
regelmäßig	regular
regelrecht	regular
regional	regional
registieren	check in
registierte Gepäck (n)	checked luggage
registriert	registered
regnen	rain
regnerisch	rainy
regsam	quick
regulieren	adjust
reiben	rub
reich	rich
reich[Adjective]	wealthy
reichen	hand
reichen	reach
reicher[Adjective]	wealthier
reichlich	abundant
reichste[Adjective]	wealthiest
reif[Adjective]	ripe
reigen	round
rein	straight
reisen	go
reisen	travel
reißen[Noun]	yank
religiös	religious
renal	letter
rennen	run
reparieren	mend
replacement	ersatz
reserviert	reserved
resolut	determined
retten	save
revidieren	revise
revoltieren	revolt
revolutionär	revolutionary
richtig	true
richtig schreiben	spell
richtig stellen	adjust
richtungs	directional
rieb	grated
riesig[Adverb]	huge
ringen[Verb]	wrestle
riskant	hazardous
riskieren	gamble
riskieren	risk
rituell	ritual
roh	raw
rollen	roll
rollte	rolled
rosa	pink
rot	red
ru.ckwa.rts	aback
ruchlos	infamous
rueckenfrei	backless
rueckwaerts[Adverb]	backwards
rueckwaertsgehen, rueckwaertslaufen[Verb]	backpedal
rufen	call
ruhen	rest
ruhig	quiet
ruhig	restful
rund	round
russisch	Russian
rutschen	slide
röntgen	x-ray
rösten	toast
rücken	hitch
rücken	move
rückläufig	regressive
rührend	pathetic
rüsten	arm
rütteln	jog
s.herauswinden	weaseling
sabotieren[Verb]	sabotaging
sabotiert[Adjective]	sabotaged
sachlich	factual
sacht	soft
sadistisch[Adjective]	sadistic
sadistisch[Adverb]	sadistically
sadomachosistisch[Adjective]	sadomasochistic
saeure[Noun]	acid
saftig	juicy
sagte aus	stated
sah	saw
sah an	viewed
sakrosankt[Adjective]	sacrosanct
salzen	salt
sammeln	collect
sanft	mild
sanft[Adjective]	gentle
sanita.re Einrichtungen (mil.)	ablutions
sanitär	sanitary
sateen	satin
satteln	saddle
sauer	sour
saß	sat
schachmatt	exhausted
schade	it's a pity
schaden[Verb]	damaging
schaffen	create
schaffen, erreichen,	achieve
schaffte, erreichte	achieved
schalten	switch
scham-	pubic
schamlos	infamous
schampunieren	shampoo
schane	beautiful
scharfgewürzt	hot
schatten	cloud
schattieren	shade
schauen	look
schauen	see
schaukeln	rock
schaute	looked
scheiden	leave
scheinbar; anscheinend	apparent
scheiss (m)[Noun]	shit
scheisse (f)[Noun]	shit
scheitern[Verb]	fail
scheitert[Verb]	fails
schellen	ring
schenken	donate
schenken	give
scherzen	joke
scheuern	jib
schicken	send
schickend	sending
schickt	send
schieben	shove
schiebt	slides
schier	sheer
schiessen	shoot
schießen	shoot
schiffen	ship
schilaufen	ski
schimmel	mold
schlafen	sleep
schlafend	asleep
schlafend	sleeping
schlag (m)[Noun]	shock
schlagen	fell
schlagen	hit
schlagen[Verb]	punching
schlagt	socks
schlecht	bad
schlecht	poor
schlechte Fahrbahn	bad surface
schlechthin	quite
schleppen	tow
schleuderte	hurled
schlicht	simple
schlicht, natu.rlich, ungeschminkt[Adjective]	unadorned
schließen	close
schließlich	final
schließlich	finally
schlingern	roll
schluck[Noun]	gulp
schläfchen	nap
schläfrig	sleepy
schmackhaft	delicate
schmarotzen	sponge
schmeicheln	flatter
schmeicheln[Verb]	cajole
schmeißen	hit
schmerzen	ache
schmerzen	hurt
schmerzen	pain
schmerzend	aching
schmerzhaft	painful
schmerzlich	painful
schmerzte	ached
schmieren	grease
schmierig	greasy
schminken	rouge
schmutzigen Kleidungen (pl)	dirty clothes
schnalzen	click
schnarchen	snore
schnarren	buzz
schneien	snow
schnell	fast
schnell	quick
schnellen	jerk
